Building,Type,Latitude,Longitude,Street Address 1,City,State,Postal Code,Full Address,Built,Acquired,Current Name,Wheelchair Accessible,Accessibility Notes,Notes
16th St. Parking Structure,Parking Structures,43.03945757,-87.93310049,749 N 16th St,Milwaukee,WI,53233,"749 N 16th St, Milwaukee, WI 53233",,,,Yes,Wheelchair accessible doors with door buttons located at the east entrance of the building.,"Visitor parking is permitted here. Structure 1, located at 749 N. 16th Street, and Wells Street Structure, located at 1240 W. Wells St., have been designated the university’s visitor parking facilities. Parking is $5.00 on weekdays, $3.00 on Saturdays and Sundays. Rates may change for special events."
1700 Building,Academic,43.0404085,-87.9344377,1700 W Wells St,Milwaukee,WI,53233,"1700 W Wells St, Milwaukee, WI 53233",,,,Yes,Wheelchair accessible doors with door buttons located at the southeast entrance of the building.,"The 1700 Building provides classrooms, laboratories and faculty offices for Marquette’s physician assistant studies program. The three-story structure originally served as a Children’s Hospital of Wisconsin clinic."
313 Building,Administrative,43.034493,-87.9284197,313 N 13th St,Milwaukee,WI,53233,"313 N 13th St, Milwaukee, WI 53233",2001,2017,,,,"The 313 Building is located on the southwest corner of North 13th Street and St. Paul Avenue (313 N. 13th St.). Built in 2001, the 313 Building provides second-floor offices for IT Services executives and staff who manage applications, databases, networks, security and systems. Street parking is available.

Marquette University purchased the 313 Building in 2017 from the Forest County Potawatomi Community as part of the university's continued investment in the Menomonee Valley."
525 Building,Academic,43.0364235,-87.9195756,525 N 6th St,Milwaukee,WI,53203,"525 N 6th St, Milwaukee, WI 53203",,2015,,,,Home to the Department of Psychology's Behavior Analysis program.
707 Building,Administrative,43.0389885,-87.9260725,1102 W Wisconsin Ave,Milwaukee,WI,53233,"1102 W Wisconsin Ave, Milwaukee, WI 53233",,,,Yes,Wheelchair accessible doors with door buttons located at the east entrance of the building.,"The 707 Building houses the 707 Hub, Air Force ROTC, Service Learning Program and others. The five-story building previously housed the Milwaukee offices of the Old Line Life Insurance Company of America. The name “707” reflects its original street address (707 N. 11th St.), as 11th Street was rerouted in 2007 to create a pedestrian mall."
Abbottsford Hall,Student Living,43.039312,-87.9283096,722 N 13th St,Milwaukee,WI,53233,"722 N 13th St, Milwaukee, WI 53233",1939,1970,,,,"Abbottsford Hall is a residence hall on the east side of campus which houses first-year students only. It is co-ed by floor. The building was constructed in 1939, purchased by Marquette in 1970 and renovated for first-year students in 2005. It is very popular because of its prime location in the heart of campus."
Al McGuire Center,Art/Entertainment/Recreation,43.0394986,-87.9267956,770 N 12th St,Milwaukee,WI,53233,"770 N 12th St, Milwaukee, WI 53233",2003,2003,,,,"Opened in October 2003, the facility is named after legendary basketball coach, Al McGuire, who led the men's basketball program to an NCAA championship, an NIT title and 295 victories in 13 seasons. Located in the heart of campus the $31 million practice and game competition facility features a 3,700-seat arena where both women's basketball and women's volleyball compete and includes the full-sized practice gym newly upgraded in 2015. The Al McGuire Center also houses intercollegiate administrative offices, core student-athlete services for strength and conditioning, sports medicine and academics, as well as basketball and volleyball team offices, locker rooms and office suites. "
Alumni Memorial Union,Art/Entertainment/Recreation,43.0396274,-87.9309743,1442 W Wisconsin Ave,Milwaukee,WI,53233,"1442 W Wisconsin Ave, Milwaukee, WI 53233",1990,,,,,"The Alumni Memorial Union (AMU) is a gathering place on campus for students, staff, faculty, alumni and guests. As Marquette University’s student union, the AMU offers a space for the community to engage in campus activities, meet with others, seek out dining options, study with friends or simply hang out."
Athletic and Human Performance Research Center,Art/Entertainment/Recreation,43.0397716,-87.9276463,733 N 12th St,Milwaukee,WI,53233,"733 N 12th St, Milwaukee, WI 53233",2019,2019,,,,"The AHPRC houses offices, locker rooms and team space for golf and men's and women's lacrosse.  The building also includes a weight room and additional space for faculty researchers from a variety of academic fields, in addition to a centralized core of laboratories for conducting human performance research. ""The cutting-edge research that will take place inside this new facility will target optimizing athletic performance as well as exploring the relationships between exercise, fitness and the overall health and well-being of people across the lifespan,"" President Michael R. Lovell said. ""Research collaborators from Marquette, Aurora Health Care and other partners will address a wide scope of human performance issues.""

Researchers will work to develop new fitness technologies and advance the use of fitness data analytics as a tool for improved performance, as well as explore areas such as rehabilitation and challenges encountered by athletes with special needs."
Campus Town Apartments,Student Living,43.0542245,-87.9331231,1819 N 16th St.,Milwaukee,WI,53233,"1819 N 16th St., Milwaukee, WI 53233",,,,Yes,Wheelchair accessible doors with door buttons located at the south entrance of the building.,"Campus Town Apartments offer juniors, seniors and graduate students quality on-campus housing, combining the independence of apartment living with the support and services that only Marquette can offer. The residence has an on-site manager and a 24-hour desk staff."
Carpenter Tower Hall,Student Living,43.0389585,-87.9256644,1032 W Wisconsin Ave,Milwaukee,WI,53233,"1032 W Wisconsin Ave, Milwaukee, WI 53233",1922,1956,,,,"Carpenter Tower is a residence hall on the East side of campus which houses both first and second year students. It is co-ed by floor. The building consists of single and double room-types and has 24/7 Security. The building has private bathrooms in each room.  The building was the Catholic Knights Tower when it first opened in 1922 as a hotel. Marquette leased the building as a women's residence hall in 1956 and bought it in 1960, and in 1972, it became the university's first coed residence hall. The building is dedicated to three contributors: Mary A. Carpenter, Michael Carpenter and Matthew A. Carpenter."
